Donor_ID,_PATIENT
SP59270,DO27763
SP135427,DO52144
SP107365,DO48896
SP78660,DO35539
SP59352,DO27803
SP78659,DO35538
SP112198,DO50808
SP77339,DO32976
SP135213,DO218282
SP116652,DO52668
SP78913,DO35715
SP112985,DO51149
SP116715,DO52692
SP116718,DO52693
SP124346,DO220866
SP101564,DO46346
SP112895,DO51104
SP112201,DO50809
SP117556,DO218351
SP98889,DO45085
SP98965,DO45123
SP112205,DO50811
SP103619,DO47132
SP98887,DO45083
SP101921,DO46498
SP103844,DO47243
SP103128,DO46953
SP98875,DO45071
SP117627,DO218417
SP112208,DO50813
SP116744,DO52706
SP115093,DO7112
SP76017,DO34288
SP135334,DO52131
SP98967,DO45125
SP125764,DO49419
SP124439,DO220903
SP78813,DO35616
SP116280,DO52516
SP101648,DO46380
SP78953,DO35755
SP103300,DO47004
SP112210,DO50814
SP124351,DO220868
SP76915,DO34809
SP111062,DO50334
SP112211,DO50814
SP79368,DO36065
SP117690,DO49427
SP98973,DO45127
SP111170,DO50444
SP79351,DO36048
SP71974,DO33552
SP125732,DO35442
SP13315,DO6386
SP79300,DO35997
SP101628,DO46374
SP112213,DO50815
SP125742,DO35360
SP125804,DO221544
SP77443,DO34961
SP116224,DO52501
SP50097,DO23508
SP112215,DO50816
SP102626,DO46790
SP98851,DO45047
SP102517,DO46753
SP78804,DO35611
SP13331,DO6402
SP135217,DO218517
SP112217,DO50817
SP124406,DO220893
SP117493,DO51173
SP125695,DO35496
SP111054,DO50407
SP77986,DO35200
SP98975,DO45129
SP117775,DO218550
SP112219,DO50818
SP124323,DO220858
SP116720,DO52694
SP106722,DO48541
SP79435,DO36131
SP107460,DO48940
SP107548,DO48966
SP98833,DO45029
SP59284,DO27769
SP79288,DO35985
SP112221,DO50819
SP78730,DO35585
SP135434,DO52146
SP124391,DO220888
SP108998,DO49528
SP112228,DO50822
SP124423,DO220897
SP106753,DO48554
SP50099,DO23509
SP117332,DO218139
SP112795,DO51054
SP78727,DO35582
SP112927,DO51120
SP102523,DO46755
SP99301,DO45287
SP78822,DO35625
SP107375,DO48901
SP98981,DO45131
SP70178,DO33000
SP115108,DO7196
SP101708,DO46408
SP112234,DO50825
SP116618,DO52654
SP78818,DO35621
SP103057,DO46929
SP124382,DO220886
SP78923,DO35725
SP112779,DO51046
SP99305,DO45289
SP107405,DO48912
SP98985,DO45133
SP112975,DO51144
SP102055,DO46560
SP125689,DO51520
SP135405,DO218769
SP112237,DO50827
SP116249,DO52509
SP98989,DO45135
SP112241,DO50829
SP98873,DO45069
SP102591,DO46777
SP107437,DO48919
SP78675,DO35554
SP102547,DO46763
SP59436,DO27845
SP116752,DO52710
SP107920,DO49129
SP107371,DO48899
SP111033,DO50449
SP79447,DO36143
SP116232,DO52509
SP112245,DO50831
SP103340,DO47016
SP124415,DO220877
SP111113,DO50450
SP135192,DO218067
SP118043,DO51182
SP110798,DO34336
SP117523,DO49454
SP107952,DO49137
SP99309,DO45291
SP115085,DO7084
SP98991,DO45137
SP112867,DO51090
SP112903,DO51108
SP112933,DO51123
SP112869,DO51091
SP79403,DO36099
SP116645,DO52664
SP112248,DO50832
SP125694,DO51490
SP79377,DO36074
SP116251,DO52509
SP125745,DO49433
SP115102,DO7166
SP112051,DO23543
SP107556,DO48973
SP124436,DO220902
SP135478,DO52156
SP135238,DO218019
SP116272,DO52513
SP98997,DO45139
SP117001,DO49484
SP110865,DO50323
SP111061,DO50330
SP112252,DO50834
SP79327,DO36024
SP59320,DO27787
SP99001,DO45141
SP70465,DO33077
SP78807,DO35613
SP135270,DO218673
SP117949,DO51514
SP112257,DO50837
SP99007,DO45143
SP117653,DO49481
SP101634,DO46376
SP13379,DO6450
SP112261,DO50839
SP50101,DO23510
SP102913,DO46881
SP116286,DO52522
SP79324,DO36021
SP112265,DO50840
SP124460,DO220912
SP101588,DO46358
SP135411,DO217896
SP117522,DO49454
SP116672,DO52676
SP78945,DO35747
SP70780,DO33152
SP112268,DO50842
SP112999,DO51156
SP111101,DO50362
SP79359,DO36057
SP112939,DO51126
SP99011,DO45145
SP102561,DO46767
SP110859,DO50319
SP112269,DO50842
SP79330,DO36027
SP125710,DO51484
SP117214,DO49421
SP99013,DO45147
SP102783,DO46844
SP110803,DO34504
SP112273,DO50844
SP101584,DO46356
SP135274,DO52122
SP101686,DO46398
SP112274,DO50844
SP116750,DO52709
SP116282,DO52518
SP116288,DO52524
SP103080,DO46937
SP107436,DO48918
SP124425,DO220898
SP112921,DO51117
SP50105,DO23512
SP135188,DO222299
SP106797,DO48573
SP112276,DO50845
SP79391,DO36087
SP135488,DO52161
SP115125,DO7328
SP99019,DO45149
SP112901,DO51107
SP99313,DO45293
SP79399,DO36095
SP101532,DO46333
SP125768,DO51529
SP23467,DO10823
SP116263,DO52511
SP101732,DO46420
SP99317,DO45295
SP79150,DO35847
SP111168,DO50443
SP107546,DO48964
SP99021,DO45151
SP117722,DO51540
SP124456,DO220910
SP112283,DO50848
SP112831,DO51072
SP79243,DO35940
SP116635,DO52661
SP107915,DO49127
SP124367,DO220881
SP135480,DO52158
SP135455,DO52151
SP112288,DO50850
SP125699,DO35290
SP103436,DO47064
SP71132,DO33264
SP107459,DO48939
SP99025,DO45151
SP125771,DO35116
SP125719,DO51479
SP112891,DO51102
SP112290,DO50851
SP116292,DO52528
SP71552,DO33400
SP102804,DO46850
SP101528,DO46331
SP69573,DO32833
SP116248,DO52503
SP124281,DO220845
SP99029,DO45153
SP99321,DO45297
SP117648,DO51546
SP79192,DO35889
SP102957,DO46897
SP125760,DO51481
SP78823,DO35626
SP75681,DO34264
SP99325,DO45299
SP117779,DO218554
SP99033,DO45155
SP115089,DO7108
SP59328,DO27791
SP124377,DO220884
SP99329,DO45301
SP98883,DO45079
SP111067,DO50354
SP107874,DO49113
SP125770,DO51474
SP112775,DO51044
SP111036,DO50381
SP99333,DO45303
SP99037,DO45157
SP116627,DO52658
SP135389,DO52139
SP96884,DO6940
SP117712,DO218491
SP77956,DO35118
SP112897,DO51105
SP99337,DO45305
SP116725,DO52696
SP102873,DO46869
SP111116,DO50385
SP98849,DO45045
SP116276,DO52514
SP112885,DO51099
SP79395,DO36091
SP111099,DO50446
SP102597,DO46779
SP99041,DO45159
SP99341,DO45307
SP112789,DO51051
SP13297,DO6368
SP110816,DO34720
SP135194,DO224498
SP124412,DO220894
SP103213,DO46977
SP78666,DO35545
SP99345,DO45309
SP99045,DO45161
SP125785,DO51522
SP102489,DO46745
SP23502,DO10858
SP77203,DO34905
SP76515,DO34696
SP125706,DO51510
SP112300,DO50855
SP125705,DO51542
SP111069,DO50365
SP99049,DO45163
SP13339,DO6410
SP116265,DO52512
SP125715,DO51488
SP102630,DO46792
SP78721,DO35576
SP112304,DO50857
SP135186,DO222292
SP116267,DO52512
SP124333,DO220861
SP112971,DO51142
SP50107,DO23513
SP97685,DO44744
SP135420,DO217822
SP124359,DO220871
SP116962,DO35098
SP124286,DO220848
SP78665,DO35544
SP110770,DO33168
SP117660,DO51468
SP112310,DO50859
SP13671,DO6742
SP79195,DO35892
SP111043,DO50398
SP99053,DO45165
SP69812,DO32893
SP101536,DO46334
SP112821,DO51067
SP112813,DO51063
SP99057,DO45167
SP98869,DO45065
SP99061,DO45169
SP59292,DO27773
SP117643,DO35350
SP135258,DO218230
SP116683,DO52681
SP125713,DO221541
SP50109,DO23514
SP59372,DO27813
SP112961,DO51137
SP124329,DO220860
SP99065,DO45171
SP78935,DO35737
SP76136,DO32900
SP70106,DO32980
SP116253,DO52509
SP112977,DO51145
SP106993,DO48672
SP103467,DO47076
SP135410,DO52141
SP116610,DO52650
SP50111,DO23515
SP116638,DO52662
SP112905,DO51109
SP102647,DO46795
SP107458,DO48938
SP107408,DO48916
SP79318,DO36015
SP101576,DO46352
SP116776,DO52722
SP13683,DO6754
SP59336,DO27795
SP99069,DO45173
SP103261,DO46992
SP79160,DO35857
SP135234,DO217814
SP112873,DO51093
SP102015,DO46542
SP107479,DO48959
SP108059,DO49181
SP108020,DO49168
SP99073,DO45175
SP124971,DO221124
SP117760,DO51507
SP23481,DO10835
SP124326,DO220859
SP102168,DO46602
SP79282,DO35979
SP98893,DO45089
SP99077,DO45177
SP107377,DO48902
SP112959,DO51136
SP98847,DO45043
SP101716,DO46412
SP112931,DO51122
SP78937,DO35739
SP116968,DO51506
SP112865,DO51089
SP125775,DO51477
SP116758,DO52713
SP135372,DO52137
SP117223,DO51170
SP99081,DO45179
SP113003,DO51158
SP124458,DO220911
SP135328,DO52129
SP116782,DO52725
SP79261,DO35959
SP97747,DO44806
SP76867,DO34793
SP99085,DO45181
SP116665,DO52673
SP111024,DO50364
SP113001,DO51157
SP99089,DO45183
SP107444,DO48925
SP103156,DO46961
SP79228,DO35925
SP13317,DO6388
SP116674,DO52677
SP103288,DO47000
SP99093,DO45185
SP111011,DO50345
SP125731,DO51501
SP79144,DO35841
SP125733,DO51499
SP107469,DO48950
SP107373,DO48900
SP108088,DO49193
SP115128,DO51989
SP112879,DO51096
SP116754,DO52711
SP116766,DO52717
SP99097,DO45187
SP78502,DO35216
SP79431,DO36127
SP111082,DO50338
SP111074,DO50403
SP116657,DO52670
SP72118,DO33600
SP99101,DO45189
SP98881,DO45077
SP107406,DO48914
SP101592,DO46360
SP135403,DO52140
SP106998,DO48674
SP125791,DO51498
SP102557,DO46765
SP79172,DO35869
SP79234,DO35931
SP99105,DO45191
SP116233,DO52510
SP135444,DO52148
SP103444,DO47068
SP125755,DO51515
SP117376,DO218180
SP110845,DO50307
SP99109,DO45193
SP116284,DO52520
SP117340,DO51469
SP125781,DO35228
SP107369,DO48898
SP106750,DO48553
SP110857,DO50318
SP99113,DO45195
SP125783,DO51504
SP107403,DO48909
SP112945,DO51129
SP117017,DO217850
SP50113,DO23516
SP124401,DO220891
SP112935,DO51124
SP116670,DO52675
SP50115,DO23517
SP116748,DO52708
SP103685,DO47156
SP50117,DO23518
SP111017,DO50440
SP101658,DO46384
SP116642,DO52663
SP116270,DO52513
SP107004,DO48677
SP111080,DO50396
SP23506,DO10844
SP107363,DO48895
SP78955,DO35757
SP111075,DO50410
SP116606,DO52648
SP71734,DO33472
SP115070,DO6474
SP76001,DO34608
SP79345,DO36042
SP99117,DO45197
SP116257,DO52510
SP102511,DO46751
SP99121,DO45199
SP111112,DO50448
SP108033,DO49172
SP124264,DO220841
SP102045,DO46556
SP116604,DO52647
SP115131,DO51992
SP110822,DO34640
SP107007,DO48679
SP112863,DO51088
SP127706,DO221548
SP117681,DO218462
SP99125,DO45201
SP124384,DO220878
SP116950,DO49460
SP111001,DO50326
SP112983,DO51148
SP103140,DO46957
SP79342,DO36039
SP115097,DO7124
SP99129,DO45203
SP112809,DO51061
SP111027,DO50367
SP103673,DO47150
SP69762,DO32878
SP111117,DO50387
SP78711,DO35566
SP99133,DO45205
SP101552,DO46342
SP116298,DO52534
SP59376,DO27815
SP125712,DO51497
SP101519,DO46327
SP102839,DO46859
SP110842,DO50306
SP50119,DO23519
SP107945,DO49135
SP135293,DO217817
SP117031,DO217864
SP107770,DO49074
SP102541,DO46761
SP99137,DO45207
SP73263,DO33960
SP77131,DO34849
SP112923,DO51118
SP50121,DO23520
SP78677,DO35556
SP108999,DO49529
SP112853,DO51083
SP124403,DO220892
SP125716,DO51465
SP50123,DO23521
SP79415,DO36111
SP125786,DO51486
SP115060,DO7018
SP79407,DO36103
SP13594,DO6665
SP99141,DO45209
SP124462,DO220913
SP103245,DO46988
SP111173,DO50452
SP50125,DO23522
SP116294,DO52530
SP96834,DO6898
SP115057,DO6428
SP113005,DO51159
SP78805,DO35612
SP59272,DO27764
SP102567,DO46769
SP79374,DO36071
SP75322,DO34448
SP107461,DO48941
SP107472,DO48952
SP99145,DO45211
SP112957,DO51135
SP99149,DO45213
SP111008,DO50340
SP124969,DO221123
SP125693,DO51478
SP107356,DO48888
SP116768,DO52718
SP116608,DO52649
SP78825,DO35628
SP117595,DO51184
SP112783,DO51048
SP101690,DO46400
SP23439,DO10809
SP59396,DO27825
SP111070,DO50382
SP13442,DO6513
SP50129,DO23524
SP107468,DO48949
SP102123,DO46588
SP78851,DO35654
SP13325,DO6396
SP99153,DO45215
SP116949,DO51494
SP79291,DO35988
SP109007,DO49537
SP110847,DO50311
SP78533,DO35085
SP78726,DO35581
SP99157,DO45217
SP23483,DO10837
SP107379,DO48904
SP116262,DO52511
SP79336,DO36033
SP99161,DO45219
SP112943,DO51128
SP116688,DO52683
SP135440,DO52147
SP135296,DO52125
SP103037,DO46921
SP98841,DO45037
SP112861,DO51087
SP103408,DO47052
SP99165,DO45221
SP59392,DO27823
SP112925,DO51119
SP112917,DO51115
SP124271,DO220842
SP70046,DO32960
SP124336,DO220846
SP116228,DO52505
SP112787,DO51050
SP50131,DO23525
SP124452,DO220908
SP70932,DO33200
SP117294,DO51169
SP135363,DO52136
SP135393,DO218443
SP116222,DO52499
SP102499,DO46747
SP111077,DO50346
SP117215,DO51473
SP50133,DO23526
SP117040,DO49445
SP117951,DO51174
SP71758,DO33480
SP98845,DO45041
SP79380,DO36077
SP107438,DO48920
SP99169,DO45223
SP107478,DO48958
SP71228,DO33288
SP117476,DO51485
SP111091,DO50339
SP101662,DO46386
SP13385,DO6456
SP50135,DO23527
SP103021,DO46917
SP117085,DO51179
SP116985,DO49439
SP125769,DO221542
SP50137,DO23528
SP78716,DO35571
SP111072,DO50383
SP101600,DO46364
SP99173,DO45225
SP111084,DO50393
SP103679,DO47153
SP59456,DO27855
SP23504,DO10843
SP78676,DO35555
SP103065,DO46933
SP99177,DO45227
SP59348,DO27801
SP112995,DO51154
SP79455,DO36151
SP102965,DO46901
SP23500,DO10841
SP103221,DO46980
SP117759,DO218535
SP79181,DO35877
SP76353,DO34656
SP79207,DO35904
SP99181,DO45229
SP101544,DO46338
SP69587,DO32837
SP125778,DO221545
SP102133,DO46591
SP117440,DO35305
SP135299,DO218030
SP59300,DO27777
SP125746,DO35083
SP79190,DO35886
SP79303,DO36000
SP101881,DO46488
SP112811,DO51062
SP99185,DO45231
SP117408,DO218211
SP116736,DO52702
SP125730,DO51523
SP124386,DO220879
SP124441,DO220904
SP107443,DO48924
SP135415,DO218774
SP23451,DO10815
SP59340,DO27797
SP59380,DO27817
SP107361,DO48893
SP50139,DO23529
SP79258,DO35955
SP112797,DO51055
SP107010,DO48681
SP107464,DO48945
SP106669,DO48520
SP13619,DO6690
SP99189,DO45233
SP125686,DO51528
SP112909,DO51111
SP115111,DO7214
SP125758,DO51466
SP112781,DO51047
SP50141,DO23530
SP77848,DO35114
SP103547,DO47104
SP78717,DO35572
SP99193,DO45235
SP102973,DO46905
SP103515,DO47092
SP102035,DO46551
SP106801,DO48574
SP117974,DO51496
SP116247,DO52502
SP116760,DO52714
SP50145,DO23532
SP78671,DO35550
SP135310,DO218487
SP13311,DO6382
SP78817,DO35620
SP50147,DO23533
SP102747,DO46834
SP107381,DO48905
SP13509,DO6580
SP59440,DO27847
SP112991,DO51152
SP107012,DO48682
SP135335,DO218031
SP117911,DO49436
SP135316,DO52127
SP101642,DO46378
SP50149,DO23534
SP79249,DO35946
SP103730,DO47171
SP107017,DO48684
SP107463,DO48944
SP124418,DO220895
SP111029,DO50370
SP103535,DO47100
SP79321,DO36018
SP117165,DO35424
SP135305,DO52126
SP13539,DO6610
SP111175,DO50406
SP124291,DO220849
SP118015,DO218773
SP117412,DO51511
SP13624,DO6695
SP107019,DO48686
SP124319,DO220857
SP112907,DO51110
SP69898,DO32916
SP111049,DO50401
SP117650,DO51509
SP107477,DO48957
SP97749,DO44808
SP79423,DO36119
SP23498,DO10840
SP107023,DO48687
SP78661,DO35540
SP117076,DO35330
SP102718,DO46827
SP78939,DO35741
SP78674,DO35553
SP107553,DO48970
SP50151,DO23535
SP125757,DO35454
SP59428,DO27841
SP112817,DO51065
SP116225,DO52502
SP107555,DO48972
SP101596,DO46362
SP79219,DO35916
SP50153,DO23536
SP103483,DO47080
SP78713,DO35568
SP111002,DO50327
SP59400,DO27827
SP102581,DO46773
SP75977,DO34600
SP99197,DO45237
SP101670,DO46390
SP98839,DO45035
SP70226,DO33016
SP79240,DO35937
SP78720,DO35575
SP50155,DO23537
SP125711,DO51538
SP112993,DO51153
SP78947,DO35749
SP125811,DO51533
SP99201,DO45239
SP110866,DO50438
SP112827,DO51070
SP116746,DO52707
SP116273,DO52513
SP79255,DO35952
SP124305,DO220853
SP112855,DO51084
SP103428,DO47060
SP50157,DO23538
SP101674,DO46392
SP116624,DO52657
SP125723,DO51487
SP101572,DO46350
SP99205,DO45241
SP97771,DO44828
SP106718,DO48539
SP108068,DO49184
SP101678,DO46394
SP102755,DO46836
SP50159,DO23539
SP111035,DO50451
SP78875,DO35678
SP79466,DO36163
SP135451,DO52150
SP13490,DO6561
SP125809,DO51548
SP103694,DO47159
SP107554,DO48971
SP107407,DO48915
SP50161,DO23540
SP59432,DO27843
